Transactionid,Start,End,Latency,Iteration
0xec57adc1df44343274874be0debeffd0b75ec08e976be8471e2c92849938f56f,1594748924,1594748924,0,1
0x57266134b9455876a0d4be721d7f9497cea415cba37175a2041d231a01976bf1,1594748924,1594748924,0,1
0x36aedc2588381faf69294ea3fbcb251b351a6fe4a23f66e5d4684a4f2c9dccd2,1594748924,1594748924,0,1
0xc4dc5add29af1a9e6d234aa012c4d22ef656a0bcd7b002a182049f371ba7b833,1594748924,1594748924,0,1
0x2ad64bcfb9244fd859db5b4b49eb48c4d07b84db6840c763bb9d20c44bb5a5bc,1594748924,1594748924,0,1
0x2a1690e5cf8d38d20601690bc09ffc00c7a6340775f8f12bffe3aecdec335b2b,1594748924,1594748924,0,1
0xa24d481d0a29c1cb37156b05318a652bd3edc34c97521c698a3f2e9c52bb598f,1594748924,1594748924,0,1
0x68433cdafa05303727c149061e7c2d807778fa13c705970914cc68ebc2c683ad,1594748924,1594748924,0,1
0xec164cbc684477bafa109ef5d1382984c43e571ad61eb87a2aca1092992d6c90,1594748924,1594748924,0,1
0x38de72cd4d2f455eb3a690851e5fef6c09260800193023218f81d41184208bbe,1594748924,1594748924,0,1
0xe2b265e61b26b791b89bae851e98496b9a5429b8b74e8af9001bdbb4f1e6c80d,1594748924,1594748924,0,1
0x691a9594b512c47609a82773adf37afc61f30e2d64a260b22f5449f8eb153a0e,1594748924,1594748924,0,1
0xcebc3cfe2c7fc4a0e1e7d729cb900433733537abd20b25d61290e7ba4f2a68a0,1594748924,1594748924,0,1
0x68708349ff6ca326b007e8ca264a7e2d2aa396a4c362f9fc836a8cb42e8e4a92,1594748924,1594748924,0,1
0x675378b382a844672d8947546f18fc3a9b530774fd7a64e08eb23773aa565612,1594748924,1594748924,0,1
0x291b57a29b68414932300858f092450c2b67de37d7d1e190fc3b88bd20a1b2d5,1594748924,1594748924,0,1
0x6faeb06ad610b2cbc4763fe168fa6d2889c7ed87fa8bf24581485ca770c78f7b,1594748924,1594748924,0,1
0xcd030189a5c558f8d65eab42a7920b1d8704e98c5e644868cabaf9dea21b6aac,1594748924,1594748924,0,1
0x6e4c742dfd41d136effdc5144dcd5f008159ae84f3b06f30331bdda9e86734f7,1594748924,1594748924,0,1
0x5ad7cb023f3b84483b9a1f4651ced6ab4f4cfb0e3ce85f3e2778e80a5bcaacf8,1594748924,1594748924,0,1
0x98b5a781c0eb4c97bda97e31cc7180ee47f3b55557f42bc991ee75198ab453ee,1594748924,1594748924,0,1
0x4f26a103e7f079dd2c3696b52720f5972fba1d3a9931b4de8978f0d16507c160,1594748924,1594748924,0,1
0x585dc43a5bd184ec6c4a002eedca4d8668ec7237adf69e0c2f315795f2406bc2,1594748924,1594748924,0,1
0x192524d84326b51cfc9d0f14c0047882c0c329e44cc007ca7b8bafabaea64e49,1594748924,1594748924,0,1
0x32530195e621f14fc178e2c7c6f1dccdab564fb9ebb10e38233cc93cddacfdb7,1594748924,1594748924,0,1
0x5c543a9c7a9ae921311fb0206da8754a38fd23fb7a526fcee6fbfe5c26015cf7,1594748924,1594748924,0,1
0xc9e1947be5f955627a1e24424307926e10eb882704e5ef22657450d10dbcc6c1,1594748924,1594748924,0,1
0xf285a48514d3076b218ffe745a44ab2fe5fbef65c04aeccce5bcaece8a628d1f,1594748924,1594748924,0,1
0x21b7f876dcd3bf554bed94e319a4a2e9be1384ed34aadc3ce08d0c0fc2ac8cbc,1594748924,1594748924,0,1
0x4801c4d12c36474e09a22480bddc7eb903069c6b47a732c0ef768174d3ebb1f1,1594748924,1594748924,0,1
0x835ae5c98d15fde6d3fab7b404e89ed1468558a6107b99d0273c0cc3d5b21c59,1594748924,1594748924,0,1
0x8fb450821b9cf4e381aa1d584887a17851ca295804a86b54c27b658de5a3a7a4,1594748924,1594748924,0,1
0xd8ee3669d5a9408c6fc6add990ff06bc14d1bf4facf75ddf935babe27ba71924,1594748924,1594748924,0,1
0xdae2f55b95ab905e71218c3ea56ccd935849e35c8b26f872f84b442e74a9186f,1594748924,1594748925,1,1
0xc08b25e853c38b17880d26fe27de4e5a71c8e618abaa196a634c842930d514ef,1594748924,1594748925,1,1
0x96eec7b3a26106beff9c84a5413e62d068df20bda0e790f7adbd2933cf222604,1594748924,1594748925,1,1
0xa05b450faddc819db4ef6e32948fbaaad3a797430fd30ffa31f01f33ffe5e6bb,1594748924,1594748925,1,1
0x7eaf1fb39a00c2d926ceddcbb7dd0bb0735c83d5c27b5aff23af113603cd6a60,1594748924,1594748925,1,1
