BlockTimeStamp,BlockMiner,BlockDifficulty,BlockSize,BlockNo,BlockGasLimit,BlockGasUsed,BlockTransactions,BlockUncles,MinTxStart,MaxTxStart,MinTxEnd,MaxTxEnd,TxGasUsed,AverageLatency,Iteration
1594735289,0x0000000000000000000000000000000000000000,2,397700,256,200000000,111395080,2920,0,1594735281,1594735301,1594735281,1594735302,38149,0.0546,1
1594735295,0x0000000000000000000000000000000000000000,2,392814,259,200000000,110021716,2884,0,1594735281,1594735301,1594735281,1594735302,38149,0.0546,1
1594735301,0x0000000000000000000000000000000000000000,2,385881,262,200000000,108076117,2833,0,1594735281,1594735301,1594735281,1594735302,38149,0.0546,1
1594735307,0x0000000000000000000000000000000000000000,2,185974,265,200000000,51997087,1363,0,1594735281,1594735301,1594735281,1594735302,38149,0.0546,1
