BlockTimeStamp,BlockMiner,BlockDifficulty,BlockSize,BlockNo,BlockGasLimit,BlockGasUsed,BlockTransactions,BlockUncles,MinTxStart,MaxTxStart,MinTxEnd,MaxTxEnd,TxGasUsed,AverageLatency,Iteration
1594749007,0x0000000000000000000000000000000000000000,2,27539,196,228894000,7553502,198,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594749009,0x0000000000000000000000000000000000000000,2,17609,197,228894000,4768625,125,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594749011,0x0000000000000000000000000000000000000000,2,40050,198,228894000,11063210,290,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594749013,0x0000000000000000000000000000000000000000,2,38551,199,228894000,10643571,279,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594749017,0x0000000000000000000000000000000000000000,2,24955,201,228894000,6828671,179,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594749019,0x0000000000000000000000000000000000000000,2,35699,202,228894000,9842442,258,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594749021,0x0000000000000000000000000000000000000000,2,10539,203,228894000,2784877,73,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594749023,0x0000000000000000000000000000000000000000,2,43312,204,228894000,11978786,314,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594749025,0x0000000000000000000000000000000000000000,2,25362,205,228894000,6943118,182,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594749027,0x0000000000000000000000000000000000000000,2,64529,206,228894000,17930030,470,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
